;sent_index;sent_text;def
139;2472;Редукция (лат. reducire — сокращать) — лингвистический термин, обозначающий ощущаемое человеческим ухом изменение звуковых характеристик речевых элементов, вызванное их безударным положением по отношению к другим — ударным элементам.;1
140;2492;"Фоне́тика (греч. φωνητικός — «звуковой»; от φωνή — «звук») — раздел лингвистики, изучающий явления языкового процесса, связанные с производством и восприятием звуков, движением артикуляционных органов и процессами в слуховом аппарате, либо аналогичными моторно-зрительными явлениями, применительно к жестовым языкам.";1
141;2598;Ге́ндерная лингви́стика (лингвистическая гендерология) — научное направление в составе междисциплинарных гендерных исследований, при помощи лингвистического понятийного аппарата изучающее гендер (социокультурный пол, понимаемый как конвенциональный конструкт, относительно автономный от биологического пола).;1
142;2608;Психолингви́стика — дисциплина, которая находится на стыке психологии и лингвистики.;1
143;2703;Приложе́ние (аппозитив) —  определение, выраженное существительным, которое может быть согласованным с определяемым словом, например ночевала тучка золотая на груди утёса-великана, или несогласованным.;1
144;2731;Практическая лингвистика — познание языка и передача результатов такого познания другим людям, не предполагающее построения научных теорий.;1
145;2749;"Пи́сьменность — совокупность письменных средств общения языка; система знаков, предназначенная для упорядочения, закрепления и передачи различных данных (речевой информации и других элементов смысла безотносительно к их языковой форме) на расстоянии и придания этим данным вневременного вида.";1
146;2869;Сою́з — служебная часть речи, с помощью которой связывают между собой простые предложения в составе сложного или однородные члены предложения.;1
147;2879;Интона́ция (лат. intonō «громко произношу») — совокупность просодических характеристик предложения: тона (мелодики речи), громкости, темпа речи и её отдельных отрезков, ритмики, особенностей фонации.;1
148;2905;"Транскри́пция (лат. trans- «через; пере-» + scribo «черчу, пишу», букв. «переписывание») в лингвистике — передача на письме тем или иным набором письменных знаков (фонетическим алфавитом) элементов звучащей речи (фонем, аллофонов, звуков).";1
149;2937;"Дескриптиви́зм, дескриптивная лингвистика (англ. descriptive ""описательный"" < позднелатин. descriptivus < descript- ""записанный"") — направление американской лингвистики 1920—1950-х годов.";1
150;2961;Типология — раздел лингвистики, занимающийся выяснением наиболее общих закономерностей различных языков, не обязательно связанных между собой общим происхождением или взаимным влиянием.;1
151;3078;Предика́т (лат. praedicatum «сказанное») в логике и лингвистике — сказуемое суждения, то, что высказывается (утверждается или отрицается) о субъекте.;1
152;3099;Аббревиату́ра — слово, образованное сокращением слова или словосочетания и читаемое по алфавитному названию начальных букв или по начальным звукам слов, входящих в него.;1
153;3186;"Койне́ (произносится койнэ́ или кайнэ́, неизменяемое, средний род; от греч. κοινὴ διάλεκτος «общий язык») — функциональный тип языка, используемый в качестве основного средства повседневного общения с широким диапазоном коммуникативных сфер в условиях регулярных социальных контактов между носителями разных диалектов (этнолектов) или языков.";1
154;3201;Контрасти́вная лингви́стика (конфронтати́вная, сопостави́тельная лингвистика) — направление в общем языкознании, задачей которого является сопоставительное изучение нескольких (обычно двух) языков для выявления их сходств и различий на всех языковых уровнях.;1
155;3219;Вале́нтность (от лат. valentia/ valens (род.п. valentis) — «имеющий силу») в синтаксисе — способность слова образовывать синтаксические связи с другими элементами, например, валентности глагола дать определяют способность сочетаться с подлежащим, прямым дополнением, косвенным дополнением: Я даю ему книгу.;1
156;3237;Фразеологизм (идиома) — свойственное определённому языку устойчивое словосочетание, смысл которого не определяется значением отдельно взятых слов, входящих в его состав.;1
157;3289;Квантитати́вная лингви́стика (англ. quantitative linguistics) — раздел общей лингвистики и, в частности, математической лингвистики.;1
158;3352;Осно́ва — неизменяемая часть слова, которая выражает его лексическое значение.;1
159;3367;Стили́стика — филологическая дисциплина, раздел языкознания, изучающая неодинаковые для разных условий языкового общения принципы выбора и способы организации языковых единиц в единое смысловое и композиционное целое (текст), а также определяемые различиями в этих принципах и способах разновидности употребления языка (стили) и их систему.;1
160;3391;Лицо́ — грамматическая категория, выражающая отношения участников описываемой ситуации и участников речевого акта (говорящего и слушающего).;1
161;3410;Примыка́ние — одна из разновидностей подчинительной синтаксической связи (наряду с согласованием и управлением), не проявляющаяся в обусловливании главным словом определённой формы зависимого, поскольку зависимый элемент неизменяем, и выражаемая лишь порядком слов и интонацией.;1
162;3425;Синтети́ческие языки́ — типологический класс языков, в которых преобладают синтетические формы (флексия или агглютинация) выражения синтаксических отношений в предложении.;1
163;3437;Лаку́на (в широком смысле) — национально-специфический элемент культуры, нашедший соответствующее отражение в языке и речи носителей этой культуры, который либо полностью не понимается, либо недопонимается носителями иной лингвокультуры в процессе коммуникации.;1
164;3442;Ана́фора (от греч. ἀναφέρειν — относить назад, возводить к чему-либо, возвращать) — лингвистическое явление, зависимость интерпретации некоторого выражения от другого выражения, обычно ранее встречавшегося в тексте.;1
165;3452;Высказывание — речевое произведение, созданное в ходе конкретного речевого акта.;1
166;3546;Общее языкознание  (общая лингвистика) – раздел языкознания, занимающийся свойствами, которыми обладают все языки, чем отличается от частного языкознания, которое занимается отдельными языками.;1
167;3579;"Ко́рень — морфема, несущая лексическое значение слова (или основную часть этого значения); в русском языке корень имеется во всех самостоятельных частях речи и отсутствует во многих служебных частях речи, междометиях и звукоподражательных словах (например, его нет в союзе «и», междометии «ах» и подобных лексических единицах).";1
168;3584;Гла́сные — тип речевых звуков, при артикуляции которых потоку воздуха не создаётся существенных препятствий, соответственно, нигде над гортанью не создаётся сколько-нибудь существенного воздушного давления.;1
169;3700;"Фра́за:  самая крупная фонетическая единица; отрезок речи с законченной интонацией.";1
170;3710;Паде́ж в языках флективного (синтетического) или агглютинативного строя — словоизменительная грамматическая категория именных и местоименных частей речи (существительных, прилагательных, числительных) и близких к ним гибридных частей речи (причастий, герундиев, инфинитивов и проч.), выражающая их синтаксическую и/или семантическую роль в предложении.;1
171;3792;Чёрное наре́чие (англ. Black Speech) — искусственный язык, разработанный Дж. Р. Р. Толкином.;1
172;3807;Точные науки (англ. Exact sciences) — отрасли науки, в которых изучают количественно точные закономерности и используются строгие методы проверки гипотез, основанные на воспроизводимых экспериментах и строгих логических рассуждениях.;1
173;3813;Фразеология — раздел лингвистики, изучающий устойчивые речевые обороты и выражения — фразеологические единицы.;1
174;3824;Ле́мма (англ. lemma) — начальная, словарная форма слова .;1
175;3839;Историческая, или диахроническая (от греч. δια — через и χρόνος — время) лингвистика — научная дисциплина, занимающаяся изучением языковых изменений с течением времени.;1
176;3922;Теоретическая лингвистика представляет собой раздел общей лингвистики, занимающийся в основном проблемами лингвистических моделей, поиском языковых универсалий (характеристик или особенностей, в той или иной мере распространяющихся на большие группы языков или на все языки).;1
177;3930;Конве́рсия (лат. conversiō «обращение», «превращение») — способ словообразования, образование нового слова путём перехода основы в другую парадигму словоизменения.;1
178;3950;Согласова́ние — одна из трёх основных разновидностей подчинительной синтаксической связи (наряду с управлением и примыканием).;1
179;3974;Коллокация — словосочетание, имеющее признаки синтаксически и семантически целостной единицы, в котором выбор одного из компонентов осуществляется по смыслу, а выбор второго зависит от выбора первого (например, ставить условия — выбор глагола ставить определяется традицией и зависит от существительного условия, при слове предложение будет другой глагол — вносить).;1
180;4008;Транспози́ция — переход слова из одной части речи в другую или использование одной языковой формы в функции другой.;1
181;4028;Придыха́ние (аспира́ция, от лат. aspiratio, «выдыхание») — акустический эффект (шум) во время произнесения звука, возникающий, если связки начинают колебаться через значительный промежуток времени (40—100 мс) после окончания консонантной артикуляции.;1
182;4041;И́мя — часть речи, дающая название для человека (в этом случае это будет личное имя), продукта (торговой марки или бренда), идеи или концепции, обычно используемая для того, чтобы отличить его от других, принадлежащих к тому же классу.;1
183;4076;Субститу́ция (от позднелат. substitutio, от лат. substitutio — «ставлю, назначаю вместо») — это группа способов словообразования, при которых происходит замена частей слов.;1
184;4081;Ударе́ние — выделение каким-либо акустическим средством одной из сегментных единиц языка — слога, слова или синтагмы.;1
185;4237;Управле́ние в лингвистике — вид синтаксической связи в словосочетании (наряду с примыканием и согласованием), при котором главное слово требует постановки зависимого в определённой словоизменительной форме (а не совпадающей с формой главного слова, как при согласовании).;1
186;4247;Языкова́я но́рма — исторически обусловленная совокупность общеупотребительных языковых средств, а также правила их отбора и использования, признаваемые обществом наиболее пригодными в конкретный исторический период.;1
187;4302;Интерференция (Лингвистическая интерференция) (лат. interferens, от inter — между + -ferens — несущий, переносящий) — обозначает в языкознании последствие влияния одного языка на другой, т.е. применение норм одного языка в другом в письменной и/или устной речи.;1
188;4325;Модус — отношение говорящего к суждению или более широко часть высказывания, отличная от пропозиции (диктума).;1
189;4342;"Повелительное наклонение (лат. modus imperativus; также императи́в) — форма наклонения, выражающая волеизъявления (приказ, просьбу или совет).";1
190;4383;"Когере́нтность (от лат. cohaerens — «находящийся в связи») — в лингвистике целостность текста, заключающаяся в логико-семантической, грамматической и стилистической соотнесённости и взаимозависимости составляющих его элементов (слов, предложений и т. д.); одна из определяющих характеристик текста/дискурса и одно из необходимых условий текстуальности.";1
191;4419;Ностратические языки (от лат. noster, род. п. nostrātis «наш», «нашего круга», «здешний») — гипотетическая макросемья языков, объединяющая несколько языковых семей и языков Европы, Азии и Африки, в том числе алтайские, картвельские, дравидийские, индоевропейские, уральские, иногда также афразийские, чукотско-камчатские и эскимосско-алеутские языки.;1
192;4510;Член предложе́ния — синтаксическая функция слов и словосочетаний в предложениях.;1
193;4540;"Просо́дия (др.-греч. προσῳδία — ударение, припев; также просо́дика) — раздел фонетики, в котором рассматриваются такие особенности произношения, как высота, сила/интенсивность, длительность, придыхание, глоттализация, палатализация, тип примыкания согласного к гласному и другие признаки, являющиеся дополнительными к основной артикуляции звука.";1
194;4622;Мальчик — ребёнок мужского пола в возрасте до 13-15 лет включительно (до окончания полового созревания).;1
195;4631;Заи́мствование, в лингвистике — это процесс усвоения одним языком слова, выражения или значения другого языка как есть (т. е. без перевода), а также результат этого процесса — само заимствованное слово.;1
196;4718;"Синко́па (др.-греч. συγκοπή, лат. syncopa, sincopa, букв. — «обрубание»; лингв. сокращение, стяжение <слова>) в метризованной музыке — смещение акцента с сильной доли такта на слабую, то есть несовпадение ритмического акцента с метрическим.";1
197;4736;Диахрония и синхрония — два противопоставленных аспекта лингвистики.;0
198;4746;Мо́ра (от лат. mora — «промедление», «пауза») — минимальная психофизически ощущаемая и фонологически значимая единица просодии некоторых языков.;1
199;4760;"Коге́зия (лат. cohaesus — «связанный», «сцеплённый») — в лингвистике грамматическая и лексическая связность текста или предложения, которая соединяет их в единое целое и придает им смысл; одна из определяющих характеристик текста/дискурса и одно из необходимых условий текстуальности.";1
200;4838;Вре́мя — грамматическая категория глагола, выражающая отношение времени описываемой в речи ситуации к моменту произнесения высказывания (то есть к моменту речи или отрезку времени, который в языке обозначается словом «сейчас»), который принимается за точку отсчета (абсолютное время), или отношение времени к другой относительной временной точке отсчета (относительное время).;1
201;4923;Фердина́нд де Соссю́р (фр. Ferdinand de Saussure, 26 ноября 1857, Женева — 22 февраля 1913) — швейцарский лингвист, заложивший основы семиологии и структурной лингвистики, стоявший у истоков Женевской лингвистической школы.;1
202;5021;Словослияние (или словостяжение) — способ словообразования, разновидность такого способа, как «сокращение».;1
203;5057;Суперстра́т — влияние языка пришлого населения на язык коренного в результате завоевания, культурного господства некого этнического меньшинства, которому не хватило критической массы для ассимиляции покорённого или подчинённого коренного населения.;1
204;5063;Диссимиля́ция (от лат. dis- — приставка, означающая разделение, отрицание («раз/рас») и similis «подобный», то есть «расподобление», «расхождение») — в фонетике и фонологии под диссимиляцией понимают процесс обратный ассимиляции, то есть два или более одинаковых или близких по типу звука расходятся в произношении всё дальше.;1
205;5093;Сочинение отличается от подчинения, которое определяется как неравноправная связь, односторонняя зависимость одного компонента связи (слова либо предложения) от другого.;1
206;5117;Лингви́стика (от лат. lingua «язык»), языкозна́ние, языкове́дение — наука, изучающая языки.;1
207;5216;Тон в лингвистике — использование высоты звука для смыслоразличения в рамках слов/морфем.;1
208;5342;Чередова́ние, альтерна́ция (лат. alterno — чередую) — парадигматическое отношение между единицами одного уровня языка, состоящее в их способности заменять друг друга на одном и том же месте в структуре единицы более высокого уровня в определённых синтагматических или парадигматических условиях.;1
209;5366;Эволюционная лингвистика — научное изучение возникновения и развития языка на основе принципа эволюционности.;1
210;5389;Оглушение — в лингвистике фонетический процесс, при котором согласные звонкие фонемы в определённых позициях реализуются как соответствующие по парности глухие звуки.;1
211;5396;Языково́й субстра́т —   язык коренного населения, обычно при переходе населения со своего языка на чужой (в результате завоевания, этнического поглощения, культурного преобладания и т. д.), по отношению к этому чужому языку.;1
212;5419;Интернет-лингвистика — подраздел лингвистики, который был сформулирован Дэвидом Кристалом.;1
213;5582;Эли́зия, элисия (от лат. ēlīsiō «выдавливание», «выталкивание») в лингвистике — отпадение звука (гласного, согласного или слога) в слове или фразе с целью облегчения произношения для говорящего.;1
214;5659;Переразложе́ние (метана́лиз, деглютина́ция, устаревшее абсорбция) — морфологическое явление: смещение морфемных границ в слове или привычном словосочетании, в результате которого ранее единая морфема может превратиться в последовательность из двух морфем, а последовательность двух и более морфем — в одну на основе опрощения (как в лат.;1
215;5687;Антрополингви́стика, антропологи́ческая лингви́стика — раздел лингвистики, изучающий эволюцию человеческого мышления на основе её отражения в соответствующей эволюции языка (прежде всего его лексики).;1
216;5714;Фонограмма (звуковой знак) — графема, соответствующая фонеме или комбинации фонем, например, как буквы латинского алфавита или японского кана.;1
217;5719;Опро́щение (опроще́ние), или деэтимологиза́ция — лексико-морфологическое явление: затемнение первоначальной семантической структуры слова, утрата этимологической мотивированности вследствие стирания морфемных границ между его компонентами.;1
218;5737;Универса́лия в лингвистике — одно из важнейших понятий типологии, свойство, присущее всем или подавляющему большинству естественных языков.;1
219;5762;Подчине́ние, или подчинительная связь, — произведение синтаксического неравноправия между словами в словосочетаниях и предложениях, а также между предикативными частями простого предложения    Подчинительной связи в словосочетании и простом предложении противопоставляется сочинительная связь.;1
220;5781;Нейролингви́стика (от греч. νεῦρον ‘нерв’, лат. lingua ‘язык’) — отрасль психологической науки, пограничная для психологии, неврологии и лингвистики, изучающая «мозговые механизмы речевой деятельности и те изменения в речевых процессах, которые возникают при локальных поражениях мозга».;1
221;5854;Сегмента́ция в лингвистике — линейное членение речевого потока на составляющие отрезки, называемые сегментами.;1
222;5863;Вариа́нтность (лат. varians, род. variantis — «изменяющийся») — в языкознании: фундаментальное свойство способа существования и функционирования единиц языка и языковой системы в целом.;1
223;5878;Когнаты (лат. cognati, букв. «родственные») — в лингвистике под когнатами понимаются однокоренные слова, имеющие общее происхождение в двух и более самостоятельных языках.;1
224;5917;"Пол Пимслер (англ. Paul Pimsleur; 17 октября 1927 — 22 июня 1976) — французско-американский лингвист, известен своими работами в области прикладной лингвистики.";1
225;5936;Фила — таксон языковой систематики, обозначающий наивысший уровень иерархии в классификации языков.;1
226;5942;Цифровая дистрибуция или цифровое распространение — способ распространения цифрового контента (компьютерных игр, аудио, электронных книг, фильмов, графики и прочего программного обеспечения) без использования материального носителя, как правило, состоящий в загрузке через Интернет на конечное устройство пользователя.;1
227;5957;Продукти́вность в языкознании — пригодность морфемы, словообразовательной или словоизменительной модели для образования новых слов и словоформ.;1
228;5970;Перево́дчик — специалист, занимающийся переводом, то есть созданием письменного или устного текста на определённом языке (называемом языком перевода), эквивалентного письменному или устному тексту на другом языке (языке-источнике).;1
229;6080;Переключе́ние ко́дов (также смеше́ние ко́дов) обозначает в языкознании процесс разговора, предложения или речевой составляющей, при котором происходит внезапное, спонтанное переключение говорящего с одного языка на другой язык или диалект и обратно.;1
230;6101;Стяже́ние (контракция) — слияние двух смежных гласных в один гласный или в дифтонг.;1
231;6111;Перево́д — деятельность по интерпретации смысла текста на одном языке (исходном языке [ИЯ]) и созданию нового эквивалентного ему текста на другом языке (переводящем языке [ПЯ]).;1
232;6291;"Интерпрета́ция — теоретико-познавательная категория; метод научного познания, направленный на понимание внутреннего содержания интерпретируемого объекта через изучение его внешних проявлений (знаков, символов, жестов, звуков и др.).";1
233;6350;"Аврам Ноам (Наум) Хомский (часто транскрибируется как Хомски или Чомски, англ. Avram Noam Chomsky [ˈnoʊm ˈtʃɒmski]; 7 декабря 1928, Филадельфия, штат Пенсильвания, США) — американский лингвист, политический публицист, философ и теоретик.";1
234;6515;"Социа́льные (обще́ственные) нау́ки (лат. socium — о́бщее) — науки об обществе; крупная классификационная группа, соответствующая: а) в контексте гносеологии — одной из трёх главных областей научного знания, наряду с естествознанием и философией.";1
235;6597;Когнитиви́стика, когнити́вная нау́ка (лат. cognitio «познание») — междисциплинарное научное направление, объединяющее теорию познания, когнитивную психологию, нейрофизиологию, когнитивную лингвистику, невербальную коммуникацию и теорию искусственного интеллекта.;1
236;6626;Оппозиция в лингвистике — одно из понятий структурализма: существенное для смыслоразличения различие между единицами плана выражения (например, звуковое противопоставление, которое может дифференцировать значения двух слов).;1
237;6635;Число́ — грамматическая категория, указывающая на количество.;1
238;6794;Вербализа́ция (от лат. verbum «глагол»), или оглаго́ливание — переход слов других частей речи в разряд глаголов.;1
239;6803;Словосложе́ние — способ словообразования, когда два или более полных слова (или основы) объединяются в единый комплекс, так называемое сложное слово.;1
240;6812;Эксклюзи́в — местоименная форма, выражающая невключённость адресата речи в дейктерическую сферу местоимения 1-го лица множественного числа (иногда — двойственного числа).;1
241;6825;Скрипу́чий го́лос (англ. creaky voice) — тип фонации, при котором голосовые связки вибрируют, как и при обычном (модальном) голосе, но при этом слабее напряжены.;1
242;6830;Нейтрализа́ция (лат. neuter — ни тот, ни другой) в лингвистике — обусловленное позицией устранение противопоставления элементов языковой структуры (языковых единиц).;1
243;6841;Таксо́н — группа в классификации, состоящая из дискретных объектов, объединяемых на основании общих свойств и признаков.;1
244;7027;Фоноло́гия (от греч. φωνή «звук» + λόγος «учение») — раздел лингвистики, изучающий структуру звукового строя языка и функционирование звуков в языковой системе.;1
245;7158;Граммати́ческая фо́рма — языковой знак, в котором тем или иным грамматическим способом (иначе говоря, регулярно, стандартно) выражается грамматическое значение.;1
246;7176;Лингвокогнитивная категоризация — специфический для каждого варианта (вариации) языковой картины мира процесс вербализованного упорядочения знаний, полученных из окружающей среды.;1
247;7181;Структурали́зм — междисциплинарное направление в социальных науках ХХ века, объединившее различные течения на основе изучения структур, использования лингвистических моделей для анализа общества и культуры, на принципах объективизма и холизма.;1
248;7921;Амплификация (лат. amplificatio «расширение») — стилистическая фигура, представляющая собой ряд повторяющихся речевых конструкций или слов, эмоционально усиливающих какое-либо определение или утверждение.;1
249;7956;Юэ — один из языков китайской языковой группы, либо одна из главных диалектных групп китайского языка, в зависимости от точки зрения.;1
250;8140;«Пиндо́с» («пендо́с», греч. Πίνδος) — слово-этнофолизм, присутствующее в разговорном варианте русского языка и употребляемое в России, Белоруссии и на Украине в нескольких смыслах, основными из которых является повсеместно распространённое на постсоветском пространстве с начала XXI века уничижительное наименование американцев (граждан США), а также распространённое в Северном Причерноморье и Приазовье с XIX века бытовое прозвище местных греков.;1
251;8205;Составля́ющая (англ. constituent), в лингвистической грамматике — структурная единица (отрезок) предложения, целиком составленная из более тесно связанных друг с другом составляющих меньшего размера.;1
252;8227;Аподосис — часть сложноподчинённого предложения, соответствующая выводу, которой противостоит протасис как причина.;1
253;8232;Эквивалентность (в некоторых учебниках — «эквиваленция») — максимально близкое соответствие переведённого текста, тексту оригинала.;1
254;8249;Гетерогра́фия — способ письма, при котором некоторые слова, основы слов или выражения записываются на одном языке, а читаются на другом.;1
255;8254;Ми́ньские языки́ — группа в составе китайской ветви сино-тибетской семьи языков.;1
256;8308;Диале́ктный конти́нуум (от лат. continuum — непрерывное) — термин, применяющийся в лингвистике в значении совокупности диалектов, образующих на определённой территории непрерывную пространственную последовательность с минимальными различиями между отдельными диалектами.;1
257;8317;Реку́рсия — определение, описание, изображение какого-либо объекта или процесса внутри самого этого объекта или процесса, то есть ситуация, когда объект является частью самого себя.;1
258;8407;Функции языка — лингвистическая модель речевой коммуникации, разработанная лингвистом и литературоведом Романом Осиповичем Якобсоном.;1
259;8455;"Мотиви́рованое сло́во (также дериват (лат. derivatum — производное); производное слово, вторичное слово) — одно из главных, исходных понятий словообразования, обозначающее слово, произведённое от какого-либо другого слова или словосочетания: лёд → ледник, ледяной, обледенеть; колоть лёд → ледокол; голый лёд → гололёд, гололедица и тому подобных.";1
